DATE,FEDFUNDS,GDPPOT_GDPC1_GDPDEF_PC1
2008-04-01,2.0866666666666667,3.75196949724621765300
2008-07-01,1.9400000000000000,3.62100724904476539000
2008-10-01,0.50666666666666666667,2.05036908616841692000
2009-01-01,0.18333333333333333333,0.69346279680514760100
2009-04-01,0.18000000000000000000,-0.58915872840404178200
2009-07-01,0.15666666666666666667,-1.54759302772641667200
2009-10-01,0.12000000000000000000,-1.05912263243630284400
2010-01-01,0.13333333333333333333,-0.49330093738232672200
2010-04-01,0.19333333333333333333,0.80914351712607714500
2010-07-01,0.18666666666666666667,1.30708342308637854600
2010-10-01,0.18666666666666666667,1.77165460270041557100
2011-01-01,0.15666666666666666667,1.84771063369569508300
2011-04-01,0.09333333333333333333,2.24934246355275951200
2011-07-01,0.08333333333333333333,2.52189495028038044300
2011-10-01,0.07333333333333333333,2.15163915709232416900
2012-01-01,0.10333333333333333333,2.48153309306356345500
2012-04-01,0.15333333333333333333,2.10276472229934219100
2012-07-01,0.14333333333333333333,1.82492778175894891100
2012-10-01,0.16000000000000000000,2.25303475774000972700
2013-01-01,0.14333333333333333333,2.13942382139281148700
2013-04-01,0.11666666666666666667,1.80726955966128274600
2013-07-01,0.08333333333333333333,1.89743907616975121200
2013-10-01,0.08666666666666666667,2.15680166742688024500
2014-01-01,0.07333333333333333333,1.78960806458682476300
2014-04-01,0.09333333333333333333,2.61263680830781989900
2014-07-01,0.09000000000000000000,2.89502851699080841500
2014-10-01,0.10000000000000000000,2.22772118954739479300
2015-01-01,0.11000000000000000000,1.70783077685507217100
2015-04-01,0.12333333333333333333,1.72443308889307905700
2015-07-01,0.13666666666666666667,1.44624487629859615100
2015-10-01,0.16000000000000000000,1.02919669405215964500
2016-01-01,0.36000000000000000000,1.02958773407092237700
2016-04-01,0.37333333333333333333,1.20876076503530868600
2016-07-01,0.39666666666666666667,1.25797512313159330800
2016-10-01,0.45000000000000000000,2.10141286625220493400
2017-01-01,0.70000000000000000000,3.00992086023266694000
2017-04-01,0.95000000000000000000,2.44546302982961154100
2017-07-01,1.15333333333333333333,2.97649997826736026200
2017-10-01,1.20333333333333333333,3.49540637212336807500
2018-01-01,1.4466666666666667,3.75864878857460654500
2018-04-01,1.7366666666666667,4.70779358220576494000
2018-07-01,1.9233333333333333,4.57621505047471460700
2018-10-01,2.2200000000000000,4.07349829158311870000
2019-01-01,2.4033333333333333,3.76145201064143793000
2019-04-01,2.3966666666666667,3.40307933432016044300
2019-07-01,2.1900000000000000,3.59291977052632419900
2019-10-01,1.6433333333333333,3.44561704940635853200
2020-01-01,1.26000000000000000000,2.65554624056854844000
2020-04-01,0.06000000000000000000,-3.12700882359927595600
2020-07-01,0.09333333333333333333,1.01087019890348076600
2020-10-01,0.09000000000000000000,1.67259021709920710400
2021-01-01,0.08000000000000000000,3.48346897577386839800
2021-04-01,0.07000000000000000000,7.06509026035588119200
2021-07-01,0.09000000000000000000,8.17695313116398171400
2021-10-01,0.08000000000000000000,10.40659123442261813000
2022-01-01,0.12000000000000000000,11.20054541276252221300
2022-04-01,0.77000000000000000000,11.91697862557322505400
2022-07-01,2.1900000000000000,11.29569408668903858500
